id;Year;Title;WorldwideBox_office;DomesticBox_office;InternationalBox_office;production_cost;Runtime;release_date;Genre_1;Genre_2;Genre_3;original_language;popularity;Production_Companies;vote_average;vote_count;Cast;Director;IMDB_Rating;Metascore
291805;2016;Now You See Me 2;334900000;650755400;;120000000;129;6;Crime;Thriller;Action;en;57812;Summit Entertainment;6827;10434;Jesse Eisenberg, Mark Ruffalo, Woody Harrelson;Jon M. Chu;640;460
291870;2016;Dirty Grandpa;94100000;355931130;;11500000;102;1;Comedy;;;en;43457;Covert Media;59;4238;Robert De Niro, Zac Efron, Zoey Deutch;Dan Mazer;590;210
292483;2014;Not Cool;36026;360260;;800000;93;9;Comedy;;;en;7741;Steeltown Entertainment;33;96;Shane Dawson, Cherami Leigh, Drew Monson;Shane Dawson;350;10
293646;2015;The 33;24900000;122277220;;25000000;120;8;Drama;History;;en;18464;Phoenix Pictures;64;893;Antonio Banderas, Rodrigo Santoro, Juliette Binoche;Patricia Riggen;690;550
293660;2016;Deadpool;782837347;3630707090;;58000000;108;2;Action;Adventure;Comedy;en;199863;20th Century Fox;7611;29742;Ryan Reynolds, Morena Baccarin, T.J. Miller;Tim Miller;800;650
293670;2016;The Wailing;49851770;7866330;;10951000;156;5;Horror;Mystery;;ko;35833;Fox International Productions;7331;1601;Jun Kunimura, Hwang Jung-min, Kwak Do-won;Na Hong-jin;740;810
293863;2015;The Age of Adaline;65663276;426297760;;25000000;112;4;Romance;Fantasy;Drama;en;54164;Lakeshore Entertainment;7479;6323;Blake Lively, Michiel Huisman, Harrison Ford;Lee Toland Krieger;720;510
294254;2015;Maze Runner: The Scorch Trials;312296056;816971920;;61000000;131;9;Science Fiction;Action;Thriller;en;88291;Temple Hill Entertainment;673;9974;Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster;Wes Ball;630;430
294272;2016;Pete's Dragon;143695338;762331510;;65000000;103;8;Adventure;Family;Fantasy;en;28471;Whitaker Entertainment;64;2139;Bryce Dallas Howard, Robert Redford, Oakes Fegley;David Lowery;670;710
295964;2015;Burnt;36606743;136519460;;20000000;100;10;Drama;;;en;19579;PeaPie Films;65;3240;Bradley Cooper, Sienna Miller, Daniel Brühl;John Wells;660;420
296096;2016;Me Before You;207945075;562450750;;20000000;110;6;Drama;Romance;;en;10463;New Line Cinema;7925;11900;Emilia Clarke, Sam Claflin, Janet McTeer;Thea Sharrock;740;510
296098;2015;Bridge of Spies;165478348;723137540;;40000000;141;10;Thriller;Drama;;en;26972;TSG Entertainment;7226;6604;Tom Hanks, Mark Rylance, Alan Alda;Steven Spielberg;760;810
296099;2015;Vacation;104400000;588841880;;31000000;99;7;Comedy;;;en;35468;New Line Cinema;6305;3584;Ed Helms, Christina Applegate, Skyler Gisondo;John Francis Daley, Jonathan Goldstein;610;340
297761;2016;Suicide Squad;746846894;3251000540;;175000000;123;8;Action;Adventure;Fantasy;en;89478;Warner Bros. Pictures;5911;20583;Will Smith, Jared Leto, Margot Robbie;David Ayer;590;400
298312;2015;The Visit;98450062;652061050;;5000000;94;9;Horror;Mystery;Thriller;en;27339;Blumhouse Productions;6317;4521;Olivia DeJonge, Ed Oxenbould, Deanna Dunagan;M. Night Shyamalan;620;550
299245;2015;The Gallows;42964410;227644100;;100000;81;7;Horror;Thriller;;en;11542;Tremendum Pictures;49;900;Reese Mishler, Pfeifer Brown, Ryan Shoos;Travis Cluff, Chris Lofing;420;300
299687;2016;The 5th Wave;109906372;349167870;;38000000;112;1;Science Fiction;Adventure;Action;en;39039;LStar Capital;5945;5595;Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez;J Blakeson;520;330
300168;2015;Dragon Blade;121545703;740680;;65000000;127;2;Adventure;History;Action;zh;38809;Visualizer Film Company;64;537;Jackie Chan, John Cusack, Adrien Brody;Daniel Lee;590;410
