Title;Director;Cast;Genre;IMDB_Rating;Metascore;Runtime;Votes;Year
Cobb;Ron Shelton;Tommy Lee Jones, Robert Wuhl, Lolita Davidovich, Lou Myers;;;;;;1994
Dreamer: Inspired by a True Story;John Gatins;Kurt Russell, Dakota Fanning, Kris Kristofferson, Elisabeth Shue;;;;;;2005
Secretariat;Randall Wallace;Diane Lane, John Malkovich, Dylan Walsh, Dylan Baker;;;;;;2010
The Sandlot;David Mickey Evans;Thomas Guiry, Mike Vitar, Patrick Renna, Chauncey Leopardi;Drama;78;550;101;890920;1993
Race;Stephen Hopkins;Stephan James, Jason Sudeikis, Eli Goree, Shanice Banton;;;;;;2016
Coach Carter;Thomas Carter;Samuel L. Jackson, Robert Ri'chard, Rob Brown, Ashanti;Drama;73;570;136;1439620;2005
Rollerball;Norman Jewison;James Caan, John Houseman, Maud Adams, John Beck;Sci-Fi;31;140;98;281730;1975
Million Dollar Arm;Craig Gillespie;Jon Hamm, Aasif Mandvi, Bill Paxton, Suraj Sharma;;;;;;2014
More Than a Game;Kristopher Belman;LeBron James, Dru Joyce, Romeo Travis, Sian Cotton;;;;;;2008
Fever Pitch;Bobby Farrelly;Drew Barrymore, Jimmy Fallon, James B. Sikking, JoBeth Williams;Comedy;62;560;104;450420;2005
Olympic Dreams;Jeremy Teicher;Nick Kroll, Alexi Pappas, Gus Kenworthy, Morgan Schild;;;;;;2019
Rocky II;Sylvester Stallone;Sylvester Stallone, Talia Shire, Burgess Meredith, Burt Young;Drama;73;610;119;2054390;1979
Ali;Michael Mann;Will Smith, Jamie Foxx, Jon Voight, Mario Van Peebles;Drama;67;650;157;989150;2001
Gunnin' for That No. 1 Spot;Adam Yauch;Michael Beasley, Tyreke Evans, Bobbito Garcia, Brandon Jennings;;;;;;2008
The Blind Side;John Lee Hancock;Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head;Drama;76;530;129;3240970;2009
The Karate Kid;Harald Zwart;Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han;Drama;73;600;126;2193600;2010
Tin Cup;Ron Shelton;Kevin Costner, Rene Russo, Cheech Marin, Linda Hart;Comedy;64;600;135;498300;1996
Bethany Hamilton: Unstoppable;Aaron Lieber;Bethany Hamilton;;;;;;2018
Ultimate X: The Movie;Bruce Hendricks;Bob Burnquist, Brian Deegan, Carey Hart, Mat Hoffman;;;;;;2002
Dodgeball: A True Underdog Story;Rawson Marshall Thurber;Vince Vaughn, Christine Taylor, Ben Stiller, Rip Torn;Comedy;67;550;92;2447580;2004
Personal Best;Robert Towne;Mariel Hemingway, Patrice Donnelly, Scott Glenn, Kenny Moore;;;;;;1982
Jungleland;Max Winkler;Charlie Hunnam, Jack O'Connell, Jessica Barden, Jonathan Majors;Drama;62;530;90;49140;2019
Invincible;Ericson Core;Mark Wahlberg, Greg Kinnear, Elizabeth Banks, Kevin Conway;Drama;87;;50;1145080;2006
Blades of Glory;Will Speck;Will Ferrell, Jon Heder, Will Arnett, Amy Poehler;Comedy;63;640;93;1674580;2007
Remember the Titans;Boaz Yakin;Denzel Washington, Will Patton, Donald Adeosun Faison, Wood Harris;Drama;78;480;113;2115970;2000
Talladega Nights: The Ballad of Ricky Bobby;Adam McKay;Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole;;;;;;2006
The Phenom;Noah Buschel;Johnny Simmons, Ethan Hawke, Paul Giamatti, Sophie Kennedy Clark;;;;;;2016
Cool Runnings;Jon Turteltaub;Leon, Doug E. Doug, Malik Yoba, John Candy;Comedy;70;600;98;1025020;1993
The Hammer;Charles Herman-Wurmfeld;Adam Carolla, Heather Juergensen, Oswaldo Castillo, Tom Quinn;;;;;;2007
Stoked: The Rise and Fall of Gator;Helen Stickler;;;;;;;2003
